Year,Sex,CountryCode,AgeGroup,Activity Rate,Employment,Employment-to-population,Informal Employment,Informal Employment Rate,Labor Force,Longterm Unemployed >1 year,NEET rate,Total Unemployment,Unemployment Rate,Working Age Population,Registered Jobseeker in '1000s',Unemployment Beneficiaries,Long-term Unemployment Rate,Inactivity Rate
2012,Female,SRB,15+,,,,,,,,,,,,,28052,,
2012,Male,SRB,15+,,,,,,,,,,,,,33581,,
2012,Total,SRB,15+,,,,,,,,,,,,,61633,,
2013,Female,ALB,15 - 24,19.36,38.56,14.12,30.773,79.8,52.87,8.384,32,14.31,27.07,273.154,,,58.588399720475195,80.64
2013,Female,ALB,15 - 64,50.01,449.839,43.15,,,521.386,55.575,,71.547,13.72,1042.523,,,77.67621283911275,49.99
2013,Female,ALB,15+,43.94,460.965,38.04,292.493,63.5,532.512,55.575,,71.547,13.44,1211.778,73.696,,77.67621283911275,56.06
2013,Female,BIH,15 - 24,19.33,15.908,7.89,4.696,29.5,38.985,14.392,24.3,23.077,59.2,201.643,,,62.365125449581825,80.67
2013,Female,BIH,15 - 64,40.83,298.498,28.76,,,423.819,98.701,,125.321,29.57,1037.947,,,78.75854804861116,59.17
2013,Female,BIH,15+,32.32,306.515,22.94,88.041,28.7,431.836,98.701,,125.321,29.02,1336.239,,,78.75854804861116,67.68
2013,Female,KOS,15 - 24,,,,,,24.5,,,,,,,,,
2013,Female,KOS,15 - 64,,,,,,125.9,,,,,,,,,
2013,Female,KOS,15+,21.1,,,,,126,,,,,,,,,78.9
2013,Female,MKD,15 - 24,27.06,19.081,13.26,7.586,41.8,38.924,13.149,25.9,19.843,50.98,143.861,,,66.26518167615784,72.94
2013,Female,MKD,15 - 64,52.68,268.746,37.29,,,379.604,90.758,,110.858,29.2,720.621,,,81.86869689151888,47.32
2013,Female,MKD,15+,44.49,271.3,31.58,56.568,21.1,382.222,90.822,,110.922,29.02,859.062,,,81.87915832747336,55.51
2013,Female,MNE,15 - 24,19.92,5.114,12.18,,,8.36,1.755,16.3,3.246,38.83,41.97,,,54.06654343807763,80.08
2013,Female,MNE,15 - 64,52.4,90.5,42.5,,,111.5,,,19.9,18.9,212.8,,,,47.6
2013,Female,MNE,15+,43.68,90.919,35.41,,,112.149,17.096,,21.23,18.93,256.739,,,80.52755534620819,56.32
